review_id,user_id,hotel_id,review_date,score_overall,score_cleanliness,score_comfort,score_facilities,score_location,score_staff,score_value_for_money,review_text,hotel_name,city,country_x,star_rating,lat,lon,cleanliness_base,comfort_base,facilities_base,location_base,staff_base,value_for_money_base,user_gender,country_y,age_group,traveller_type,join_date
1,1600,1,2022-10-07,8.7,8.6,8.7,8.5,9.0,8.8,8.7,Practice reduce young our because machine. Recent forget phone fast stuff adult.,The Azure Tower,New York,United States,5,40.758,-73.9855,9.1,8.8,8.9,9.5,8.6,8.0,Female,New Zealand,25-34,Solo,2021-03-21
2,432,4,2020-03-24,9.1,10.0,9.1,9.0,8.6,9.4,8.6,Test cover traditional black. Process tell Mr book skill say age. Goal term office benefit. Brother message four though suddenly food surface.,Kyo-to Grand,Tokyo,Japan,5,35.6895,139.6917,9.6,9.0,9.3,8.5,9.5,8.2,Female,United Kingdom,35-44,Couple,2025-04-01
3,186,18,2023-12-18,8.8,9.7,8.8,8.3,8.7,8.1,8.6,Friend million student social study yeah. Growth its rest represent sell.,Nile Grandeur,Cairo,Egypt,5,30.0444,31.2357,8.8,8.7,8.6,9.1,8.7,8.4,Female,Spain,55+,Couple,2021-10-28
4,1403,19,2022-06-22,8.9,9.0,8.8,8.5,9.6,9.1,8.3,Huge girl already remain truth behind card. Appear way any ready head it. Against his deep building partner.,Gaudi's Retreat,Barcelona,Spain,5,41.3851,2.1734,9.2,9.1,8.9,9.7,9.0,8.8,Female,United Kingdom,35-44,Business,2023-10-10
5,1723,17,2022-07-02,9.1,8.9,9.5,9.3,8.3,9.4,8.9,"Cover feeling call community serve television still.
Some majority weight protect window administration. Approach threat media analysis.",Kremlin Suites,Moscow,Russia,5,55.7558,37.6173,9.1,9.3,9.0,9.0,9.1,8.6,Male,Australia,45-54,Family,2023-02-28
6,800,7,2025-08-10,8.7,8.2,8.7,8.1,9.5,9.0,8.8,"Truth forget computer current bad billion lead. Happy may west.
Vote democratic food garden star focus. Value ok miss.",Sydney Harbour Grand,Sydney,Australia,5,-33.8651,151.2099,8.9,9.0,8.5,9.8,8.9,8.4,Male,United States,25-34,Solo,2024-09-19
7,830,23,2022-06-05,8.9,8.1,9.0,8.6,9.6,9.2,8.2,"School hour matter. Anyone discover local he team tree call.
She role student. His section despite range unit impact suddenly want.",Tango Boutique,Buenos Aires,Argentina,5,-34.6037,-58.3816,8.9,8.8,8.7,9.0,8.8,8.7,Male,China,25-34,Business,2021-12-05
8,1492,6,2020-02-19,8.8,8.1,8.7,9.3,9.3,9.5,7.4,Spend maintain voice none teacher painting responsibility. Exist determine argue soon unit enough quite. Act board act student though.,Marina Bay Zenith,Singapore,Singapore,5,1.29027,103.851959,9.2,9.1,9.4,9.7,9.1,8.3,Female,United Arab Emirates,25-34,Business,2024-07-21
9,1009,13,2021-03-21,8.8,8.4,8.4,8.1,9.1,9.5,8.9,Parent voice move remember system check memory. This station major agency pick. This reach attorney role discover give.,The Gateway Royale,Mumbai,India,5,19.076,72.8777,8.9,8.8,8.7,9.2,8.8,8.6,Male,Canada,35-44,Solo,2024-06-20
10,1334,15,2022-11-20,8.8,9.4,9.2,8.0,9.3,8.3,8.5,"Push wind financial attention. Control firm score clearly radio.
We former determine old forget reveal pattern. Red grow the move decade century.",Table Mountain View,Cape Town,South Africa,5,-33.9249,18.4241,9.0,9.2,8.8,9.5,9.2,8.4,Female,Brazil,35-44,Couple,2023-01-15
11,71,13,2020-05-15,8.9,9.7,8.9,8.3,9.2,8.9,8.2,Commercial former art animal computer people begin much. Keep from option focus.,The Gateway Royale,Mumbai,India,5,19.076,72.8777,8.9,8.8,8.7,9.2,8.8,8.6,Male,New Zealand,25-34,Couple,2025-05-28
